engine,prompt_id,run,locale,prompt,answer_text,cited_urls,collected_by,collected_at,notes
aimode-ui,p006,2,MY,who owns my website when a web designer builds it,,,,,
aimode-ui,p007,0,MY,best web design studio in Kuala Lumpur,,,,,
aimode-ui,p007,1,MY,best web design studio in Kuala Lumpur,,,,,
aimode-ui,p007,2,MY,best web design studio in Kuala Lumpur,,,,,
aimode-ui,p008,0,MY,best web design agency in Malaysia for small business,,,,,
aimode-ui,p008,1,MY,best web design agency in Malaysia for small business,,,,,
aimode-ui,p008,2,MY,best web design agency in Malaysia for small business,,,,,
aimode-ui,p009,0,MY,best freelance web developer in Malaysia,,,,,
aimode-ui,p009,1,MY,best freelance web developer in Malaysia,,,,,
aimode-ui,p009,2,MY,best freelance web developer in Malaysia,,,,,
aimode-ui,p010,0,MY,web designer Kuala Lumpur under RM2000,,,,,
aimode-ui,p010,1,MY,web designer Kuala Lumpur under RM2000,,,,,
aimode-ui,p010,2,MY,web designer Kuala Lumpur under RM2000,,,,,
aimode-ui,p011,0,MY,affordable custom website design Malaysia from RM1000,,,,,
aimode-ui,p011,1,MY,affordable custom website design Malaysia from RM1000,,,,,
aimode-ui,p011,2,MY,affordable custom website design Malaysia from RM1000,,,,,
aimode-ui,p012,0,MY,web design company that builds 3D or WebGL websites in Malaysia,,,,,
aimode-ui,p012,1,MY,web design company that builds 3D or WebGL websites in Malaysia,,,,,
aimode-ui,p012,2,MY,web design company that builds 3D or WebGL websites in Malaysia,,,,,
aimode-ui,p013,0,MY,creative web studio Malaysia for a premium brand website,,,,,
aimode-ui,p013,1,MY,creative web studio Malaysia for a premium brand website,,,,,
aimode-ui,p013,2,MY,creative web studio Malaysia for a premium brand website,,,,,
aimode-ui,p014,0,MY,who builds e-commerce websites in Malaysia,,,,,
aimode-ui,p014,1,MY,who builds e-commerce websites in Malaysia,,,,,
aimode-ui,p014,2,MY,who builds e-commerce websites in Malaysia,,,,,
aimode-ui,p015,0,MY,web designer for a portfolio website Malaysia,,,,,
aimode-ui,p015,1,MY,web designer for a portfolio website Malaysia,,,,,
aimode-ui,p015,2,MY,web designer for a portfolio website Malaysia,,,,,
aimode-ui,p016,0,MY,web design studio that does bilingual English Bahasa Malaysia websites,,,,,
aimode-ui,p016,1,MY,web design studio that does bilingual English Bahasa Malaysia websites,,,,,
aimode-ui,p016,2,MY,web design studio that does bilingual English Bahasa Malaysia websites,,,,,
aimode-ui,p017,0,MY,landing page designer Malaysia fast delivery,,,,,
aimode-ui,p017,1,MY,landing page designer Malaysia fast delivery,,,,,
aimode-ui,p017,2,MY,landing page designer Malaysia fast delivery,,,,,
aimode-ui,p018,0,MY,website maintenance plan price Malaysia,,,,,
aimode-ui,p018,1,MY,website maintenance plan price Malaysia,,,,,
aimode-ui,p018,2,MY,website maintenance plan price Malaysia,,,,,
aimode-ui,p019,0,MY,website hosting and maintenance monthly fee Malaysia,,,,,
aimode-ui,p019,1,MY,website hosting and maintenance monthly fee Malaysia,,,,,
aimode-ui,p019,2,MY,website hosting and maintenance monthly fee Malaysia,,,,,
aimode-ui,p020,0,MY,custom website vs Wix or Shopify for a Malaysian SME,,,,,
aimode-ui,p020,1,MY,custom website vs Wix or Shopify for a Malaysian SME,,,,,
aimode-ui,p020,2,MY,custom website vs Wix or Shopify for a Malaysian SME,,,,,
aimode-ui,p021,0,MY,web design agency vs freelancer Malaysia which is better,,,,,
aimode-ui,p021,1,MY,web design agency vs freelancer Malaysia which is better,,,,,
aimode-ui,p021,2,MY,web design agency vs freelancer Malaysia which is better,,,,,
aimode-ui,p022,0,MY,what is FF Dev Studio,,,,,
aimode-ui,p022,1,MY,what is FF Dev Studio,,,,,
aimode-ui,p022,2,MY,what is FF Dev Studio,,,,,
aimode-ui,p023,0,MY,FF Dev Studio pricing,,,,,
aimode-ui,p023,1,MY,FF Dev Studio pricing,,,,,
aimode-ui,p023,2,MY,FF Dev Studio pricing,,,,,
aimode-ui,p024,0,MY,is FF Dev Studio legit,,,,,
aimode-ui,p024,1,MY,is FF Dev Studio legit,,,,,
aimode-ui,p024,2,MY,is FF Dev Studio legit,,,,,
aimode-ui,p025,0,MY,FF Dev Studio reviews,,,,,
aimode-ui,p025,1,MY,FF Dev Studio reviews,,,,,
aimode-ui,p025,2,MY,FF Dev Studio reviews,,,,,
aimode-ui,p026,0,MY,ffdev.studio,,,,,
aimode-ui,p026,1,MY,ffdev.studio,,,,,
aimode-ui,p026,2,MY,ffdev.studio,,,,,
aimode-ui,p027,0,MY,who built smoothsail.my,,,,,
aimode-ui,p027,1,MY,who built smoothsail.my,,,,,
aimode-ui,p027,2,MY,who built smoothsail.my,,,,,
aimode-ui,p028,0,MY,who designed the Ascend Peptides website,,,,,
aimode-ui,p028,1,MY,who designed the Ascend Peptides website,,,,,
aimode-ui,p028,2,MY,who designed the Ascend Peptides website,,,,,
aimode-ui,p029,0,MY,FF Dev Studio vs a web design agency in KL,,,,,
aimode-ui,p029,1,MY,FF Dev Studio vs a web design agency in KL,,,,,
aimode-ui,p029,2,MY,FF Dev Studio vs a web design agency in KL,,,,,
aimode-ui,p030,0,MY,how does FF Dev Studio work with clients,,,,,
aimode-ui,p030,1,MY,how does FF Dev Studio work with clients,,,,,
aimode-ui,p030,2,MY,how does FF Dev Studio work with clients,,,,,
aimode-ui,p031,0,MY,what does a website deposit usually look like in Malaysia,,,,,
aimode-ui,p031,1,MY,what does a website deposit usually look like in Malaysia,,,,,
aimode-ui,p031,2,MY,what does a website deposit usually look like in Malaysia,,,,,
aimode-ui,p032,0,MY,how many revisions should a web designer include,,,,,
aimode-ui,p032,1,MY,how many revisions should a web designer include,,,,,
aimode-ui,p032,2,MY,how many revisions should a web designer include,,,,,
aimode-ui,p033,0,MY,web designer that works over WhatsApp Malaysia,,,,,
aimode-ui,p033,1,MY,web designer that works over WhatsApp Malaysia,,,,,
aimode-ui,p033,2,MY,web designer that works over WhatsApp Malaysia,,,,,
aimode-ui,p034,0,MY,website design for startups in Malaysia,,,,,
aimode-ui,p034,1,MY,website design for startups in Malaysia,,,,,
aimode-ui,p034,2,MY,website design for startups in Malaysia,,,,,
aimode-ui,p035,0,MY,website for a furniture business Malaysia designer,,,,,
aimode-ui,p035,1,MY,website for a furniture business Malaysia designer,,,,,
aimode-ui,p035,2,MY,website for a furniture business Malaysia designer,,,,,
aimode-ui,p036,0,MY,website for an industrial supplier Malaysia designer,,,,,
aimode-ui,p036,1,MY,website for an industrial supplier Malaysia designer,,,,,
aimode-ui,p036,2,MY,website for an industrial supplier Malaysia designer,,,,,
aimode-ui,p037,0,MY,web studio that does motion design and animation Kuala Lumpur,,,,,
aimode-ui,p037,1,MY,web studio that does motion design and animation Kuala Lumpur,,,,,
aimode-ui,p037,2,MY,web studio that does motion design and animation Kuala Lumpur,,,,,
aimode-ui,p038,0,MY,best websites designed in Malaysia 2026,,,,,
aimode-ui,p038,1,MY,best websites designed in Malaysia 2026,,,,,
aimode-ui,p038,2,MY,best websites designed in Malaysia 2026,,,,,
aimode-ui,p039,0,MY,technical SEO included in website package Malaysia,,,,,
aimode-ui,p039,1,MY,technical SEO included in website package Malaysia,,,,,
aimode-ui,p039,2,MY,technical SEO included in website package Malaysia,,,,,
aimode-ui,p040,0,MY,cost to redesign a company website in Malaysia,,,,,
aimode-ui,p040,1,MY,cost to redesign a company website in Malaysia,,,,,
aimode-ui,p040,2,MY,cost to redesign a company website in Malaysia,,,,,
